Source,Target,Type,Id,Label,timeset,Weight
11838,11530,Undirected,302250,,,1
11806,11530,Undirected,353474,,,1
11772,11530,Undirected,267784,,,2
11560,11530,Undirected,269088,,,1
11546,11530,Undirected,229096,,,6
11532,15326,Undirected,399877,,,1
11532,14913,Undirected,341207,,,1
11532,13600,Undirected,341212,,,1
11532,12825,Undirected,392667,,,1
11532,12439,Undirected,392668,,,1
11532,12405,Undirected,352247,,,8
11532,12121,Undirected,314462,,,1
11532,12112,Undirected,339396,,,1
11532,12111,Undirected,392663,,,1
11532,12065,Undirected,399882,,,1
11532,11886,Undirected,392664,,,1
11532,11885,Undirected,399857,,,4
11532,11847,Undirected,318463,,,1
11532,11772,Undirected,367091,,,1
11532,11688,Undirected,399880,,,1
11532,11633,Undirected,392665,,,1
11532,11533,Undirected,228950,,,6
16774,11532,Undirected,372631,,,1
14590,11532,Undirected,372676,,,1
14087,11532,Undirected,317864,,,1
13835,11532,Undirected,344333,,,1
13607,11532,Undirected,317910,,,1
13274,11532,Undirected,339393,,,1
13211,11532,Undirected,351392,,,2
12634,11532,Undirected,318053,,,1
12609,11532,Undirected,344357,,,1
12608,11532,Undirected,317949,,,2
12607,11532,Undirected,344358,,,1
12606,11532,Undirected,318098,,,2
12362,11532,Undirected,318429,,,2
12321,11532,Undirected,352242,,,2
12206,11532,Undirected,314453,,,1
12145,11532,Undirected,318446,,,1
12061,11532,Undirected,392644,,,1
12004,11532,Undirected,318311,,,1
11979,11532,Undirected,392614,,,1
11948,11532,Undirected,318150,,,1
11933,11532,Undirected,345082,,,1
11924,11532,Undirected,345085,,,1
11911,11532,Undirected,280203,,,1
11851,11532,Undirected,351389,,,2
11674,11532,Undirected,352278,,,7
11648,11532,Undirected,318278,,,1
11591,11532,Undirected,380821,,,1
11564,11532,Undirected,318357,,,1
11555,11532,Undirected,229144,,,1
11546,11532,Undirected,229086,,,4
11533,12393,Undirected,400798,,,1
11533,12290,Undirected,235050,,,1
11533,11827,Undirected,400808,,,1
11533,11811,Undirected,287691,,,2
11533,11700,Undirected,400805,,,1
11533,11546,Undirected,228978,,,2
11546,12671,Undirected,339819,,,1
11546,12042,Undirected,276971,,,1
11546,11865,Undirected,397657,,,1
11546,11806,Undirected,353421,,,3
11546,11772,Undirected,230561,,,19
11546,11771,Undirected,230527,,,1
11546,11769,Undirected,292039,,,11
11546,11689,Undirected,332326,,,1
11546,11557,Undirected,274592,,,2
11546,11555,Undirected,229087,,,1
16061,11546,Undirected,353433,,,1
15509,11546,Undirected,374544,,,1
15088,11546,Undirected,333140,,,2
12095,11546,Undirected,339592,,,2
12065,11546,Undirected,353473,,,2
11911,11546,Undirected,245239,,,1
11777,11546,Undirected,245225,,,3
11555,17985,Undirected,337480,,,1
11555,16745,Undirected,337470,,,1
11555,16744,Undirected,337472,,,1
11555,15418,Undirected,337473,,,1
11555,14868,Undirected,266393,,,2
11555,14692,Undirected,349371,,,1
11555,14638,Undirected,349390,,,2
11555,14630,Undirected,349376,,,1
11555,14623,Undirected,349368,,,1
11555,14194,Undirected,265333,,,2
11555,14126,Undirected,265062,,,1
11555,14122,Undirected,252853,,,2
11555,13795,Undirected,265159,,,1
